"Identifier","Version No","Category","Topics","Type","Text","Status","Version Date","Notation","Document Version","Regex"
"173","2","Environmental","Schedule C State Forest & Timber Reserves (S.W.)","Condition","The **LESSEE** at his/her expense carrying out all necessary measures to prevent the spread of the dieback disease (Phytophthora spp) on the area of the lease and complying with instructions of the Executive Director, DEC or his nominee before commencing exploratory work outside areas being mined.","Inactive","01/08/2006 00:00:00 onwards","Impose on M where State Forest & Timber Reserve in SW","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+.+[^A-Z0-9]+at[^A-Z0-9]+his[^A-Z0-9]+her[^A-Z0-9]+expense[^A-Z0-9]+carrying[^A-Z0-9]+out[^A-Z0-9]+all[^A-Z0-9]+necessary[^A-Z0-9]+measures[^A-Z0-9]+to[^A-Z0-9]+prevent[^A-Z0-9]+the[^A-Z0-9]+spread[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+dieback[^A-Z0-9]+disease[^A-Z0-9]+Phytophthora[^A-Z0-9]+spp[^A-Z0-9]+on[^A-Z0-9]+the[^A-Z0-9]+area[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+lease[^A-Z0-9]+and[^A-Z0-9]+complying[^A-Z0-9]+with[^A-Z0-9]+instructions[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+DEC[^A-Z0-9]+or[^A-Z0-9]+his[^A-Z0-9]+nominee[^A-Z0-9]+before[^A-Z0-9]+commencing[^A-Z0-9]+exploratory[^A-Z0-9]+work[^A-Z0-9]+outside[^A-Z0-9]+areas[^A-Z0-9]+being[^A-Z0-9]+mined[\s?.*-:]*$"
"174","2","Environmental","Schedule C State Forest & Timber Reserves (S.W.)","Condition","Lessee taking all such necessary precautions as may be indicated by the Regional/District Manager DEC to prevent the occurrence or spread of any fire within or adjacent to the leased area.","Inactive","01/08/2006 00:00:00 onwards","Impose on M where State Forest & Timber Reserve in SW","Jun-17","(?i)^[\s?.*-:]*Lessee[^A-Z0-9]+taking[^A-Z0-9]+all[^A-Z0-9]+such[^A-Z0-9]+necessary[^A-Z0-9]+precautions[^A-Z0-9]+as[^A-Z0-9]+may[^A-Z0-9]+be[^A-Z0-9]+indicated[^A-Z0-9]+by[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+DEC[^A-Z0-9]+to[^A-Z0-9]+prevent[^A-Z0-9]+the[^A-Z0-9]+occurrence[^A-Z0-9]+or[^A-Z0-9]+spread[^A-Z0-9]+of[^A-Z0-9]+any[^A-Z0-9]+fire[^A-Z0-9]+within[^A-Z0-9]+or[^A-Z0-9]+adjacent[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+leased[^A-Z0-9]+area[\s?.*-:]*$"
"175","6","Environmental","Schedule C State Forest & Timber Reserves (S.W.)","Condition","The **LESSEE** at his/her expense rehabilitating all areas affected by mining or operations associated with mining conducted during the term of the lease. Rehabilitation being to the satisfaction of the Executive Director, Environment Division, DMP and in agreement with the Regional/District Manager, DEC and in accordance with DEC Policy No. 10 (Rehabilitation of Disturbed Lands).","Inactive","09/11/2011 00:00:01 onwards","Impose on M where State Forest & Timber Reserve in SW","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+.+[^A-Z0-9]+at[^A-Z0-9]+his[^A-Z0-9]+her[^A-Z0-9]+expense[^A-Z0-9]+rehabilitating[^A-Z0-9]+all[^A-Z0-9]+areas[^A-Z0-9]+affected[^A-Z0-9]+by[^A-Z0-9]+mining[^A-Z0-9]+or[^A-Z0-9]+operations[^A-Z0-9]+associated[^A-Z0-9]+with[^A-Z0-9]+mining[^A-Z0-9]+conducted[^A-Z0-9]+during[^A-Z0-9]+the[^A-Z0-9]+term[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+lease[^A-Z0-9]+Rehabilitation[^A-Z0-9]+being[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+satisfaction[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Environment[^A-Z0-9]+Division[^A-Z0-9]+DMP[^A-Z0-9]+and[^A-Z0-9]+in[^A-Z0-9]+agreement[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+DEC[^A-Z0-9]+and[^A-Z0-9]+in[^A-Z0-9]+accordance[^A-Z0-9]+with[^A-Z0-9]+DEC[^A-Z0-9]+Policy[^A-Z0-9]+No[^A-Z0-9]+10[^A-Z0-9]+Rehabilitation[^A-Z0-9]+of[^A-Z0-9]+Disturbed[^A-Z0-9]+Lands[^A-Z0-9]+[\s?.*-:]*$"
"176","9","Environmental","Schedule C State Forest & Timber Reserves (S.W.)","Condition","The **LESSEE** submitting a Mining Proposal (MP) for any proposed operations, including measures to safeguard the environment, to the Executive Director, Environment Division, DMP for assessment and written approval, subject to the agreement of the Executive Director, DEC prior to commencing any developmental or productive mining. The approved MP (as amended) then becoming a condition of this lease and the **LESSEE** providing a bond in favour of the Minister responsible for the Mining Act 1978 for the sum specified in the MP approval for due compliance with the environmental conditions of the lease.","Inactive","09/11/2011 00:00:01 onwards","Impose on M where State Forest & Timber Reserve in SW","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+.+[^A-Z0-9]+submitting[^A-Z0-9]+a[^A-Z0-9]+Mining[^A-Z0-9]+Proposal[^A-Z0-9]+MP[^A-Z0-9]+for[^A-Z0-9]+any[^A-Z0-9]+proposed[^A-Z0-9]+operations[^A-Z0-9]+including[^A-Z0-9]+measures[^A-Z0-9]+to[^A-Z0-9]+safeguard[^A-Z0-9]+the[^A-Z0-9]+environment[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Environment[^A-Z0-9]+Division[^A-Z0-9]+DMP[^A-Z0-9]+for[^A-Z0-9]+assessment[^A-Z0-9]+and[^A-Z0-9]+written[^A-Z0-9]+approval[^A-Z0-9]+subject[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+agreement[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+DEC[^A-Z0-9]+prior[^A-Z0-9]+to[^A-Z0-9]+commencing[^A-Z0-9]+any[^A-Z0-9]+developmental[^A-Z0-9]+or[^A-Z0-9]+productive[^A-Z0-9]+mining[^A-Z0-9]+The[^A-Z0-9]+approved[^A-Z0-9]+MP[^A-Z0-9]+as[^A-Z0-9]+amended[^A-Z0-9]+then[^A-Z0-9]+becoming[^A-Z0-9]+a[^A-Z0-9]+condition[^A-Z0-9]+of[^A-Z0-9]+this[^A-Z0-9]+lease[^A-Z0-9]+and[^A-Z0-9]+the[^A-Z0-9]+.+[^A-Z0-9]+providing[^A-Z0-9]+a[^A-Z0-9]+bond[^A-Z0-9]+in[^A-Z0-9]+favour[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Minister[^A-Z0-9]+responsible[^A-Z0-9]+for[^A-Z0-9]+the[^A-Z0-9]+Mining[^A-Z0-9]+Act[^A-Z0-9]+1978[^A-Z0-9]+for[^A-Z0-9]+the[^A-Z0-9]+sum[^A-Z0-9]+specified[^A-Z0-9]+in[^A-Z0-9]+the[^A-Z0-9]+MP[^A-Z0-9]+approval[^A-Z0-9]+for[^A-Z0-9]+due[^A-Z0-9]+compliance[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+environmental[^A-Z0-9]+conditions[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+lease[\s?.*-:]*$"
"177","9","Environmental","Schedule C State Forest & Timber Reserves (S.W.)","Condition","The **LESSEE** submitting to the Executive Director, Environment Division, DMP and the Regional/District Manager, DEC in {month} of each year, a brief annual report outlining the project operations, minesite environmental management and a notice for the amount of compensation due and the **LESSEE** paying the amount within two (2) months of the date of such notice. A penalty of interest at the Commonwealth bond rate plus four percent being charged for late payment.","Inactive","09/11/2011 00:00:01 onwards","Impose on M where State Forest & Timber Reserve in SW","Mar-18","(?i)^[\s?.*-:]*The[^A-Z0-9]+.+[^A-Z0-9]+submitting[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Environment[^A-Z0-9]+Division[^A-Z0-9]+DMP[^A-Z0-9]+and[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+DEC[^A-Z0-9]+in[^A-Z0-9]+month[^A-Z0-9]+of[^A-Z0-9]+each[^A-Z0-9]+year[^A-Z0-9]+a[^A-Z0-9]+brief[^A-Z0-9]+annual[^A-Z0-9]+report[^A-Z0-9]+outlining[^A-Z0-9]+the[^A-Z0-9]+project[^A-Z0-9]+operations[^A-Z0-9]+minesite[^A-Z0-9]+environmental[^A-Z0-9]+management[^A-Z0-9]+and[^A-Z0-9]+a[^A-Z0-9]+notice[^A-Z0-9]+for[^A-Z0-9]+the[^A-Z0-9]+amount[^A-Z0-9]+of[^A-Z0-9]+compensation[^A-Z0-9]+due[^A-Z0-9]+and[^A-Z0-9]+the[^A-Z0-9]+.+[^A-Z0-9]+paying[^A-Z0-9]+the[^A-Z0-9]+amount[^A-Z0-9]+within[^A-Z0-9]+two[^A-Z0-9]+2[^A-Z0-9]+months[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+date[^A-Z0-9]+of[^A-Z0-9]+such[^A-Z0-9]+notice[^A-Z0-9]+A[^A-Z0-9]+penalty[^A-Z0-9]+of[^A-Z0-9]+interest[^A-Z0-9]+at[^A-Z0-9]+the[^A-Z0-9]+Commonwealth[^A-Z0-9]+bond[^A-Z0-9]+rate[^A-Z0-9]+plus[^A-Z0-9]+four[^A-Z0-9]+percent[^A-Z0-9]+being[^A-Z0-9]+charged[^A-Z0-9]+for[^A-Z0-9]+late[^A-Z0-9]+payment[\s?.*-:]*$"
"177","9","Environmental","Schedule C State Forest & Timber Reserves (S.W.)","Condition","The **LESSEE** submitting to the Executive Director, Environment Division, DMP and the Regional/District Manager, DEC in {month} of each year, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programs for the next 12 months. Following receipt of the annual report a site inspection by the Regional Environmental Officer, Department of Mines and Petroleum and Regional/District Manager, DEC may be required.","Inactive","09/11/2011 00:00:01 onwards","Impose on M where State Forest & Timber Reserve in SW","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+.+[^A-Z0-9]+submitting[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Environment[^A-Z0-9]+Division[^A-Z0-9]+DMP[^A-Z0-9]+and[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+DEC[^A-Z0-9]+in[^A-Z0-9]+month[^A-Z0-9]+of[^A-Z0-9]+each[^A-Z0-9]+year[^A-Z0-9]+a[^A-Z0-9]+brief[^A-Z0-9]+annual[^A-Z0-9]+report[^A-Z0-9]+outlining[^A-Z0-9]+the[^A-Z0-9]+project[^A-Z0-9]+operations[^A-Z0-9]+minesite[^A-Z0-9]+environmental[^A-Z0-9]+management[^A-Z0-9]+and[^A-Z0-9]+rehabilitation[^A-Z0-9]+work[^A-Z0-9]+undertaken[^A-Z0-9]+in[^A-Z0-9]+the[^A-Z0-9]+previous[^A-Z0-9]+12[^A-Z0-9]+months[^A-Z0-9]+and[^A-Z0-9]+the[^A-Z0-9]+proposed[^A-Z0-9]+operations[^A-Z0-9]+environmental[^A-Z0-9]+management[^A-Z0-9]+plans[^A-Z0-9]+and[^A-Z0-9]+rehabilitation[^A-Z0-9]+programs[^A-Z0-9]+for[^A-Z0-9]+the[^A-Z0-9]+next[^A-Z0-9]+12[^A-Z0-9]+months[^A-Z0-9]+Following[^A-Z0-9]+receipt[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+annual[^A-Z0-9]+report[^A-Z0-9]+a[^A-Z0-9]+site[^A-Z0-9]+inspection[^A-Z0-9]+by[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Mines[^A-Z0-9]+and[^A-Z0-9]+Petroleum[^A-Z0-9]+and[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+DEC[^A-Z0-9]+may[^A-Z0-9]+be[^A-Z0-9]+required[\s?.*-:]*$"
"178","2","Environmental","Schedule C State Forest & Timber Reserves (S.W.)","Condition","The **LESSEE** designating to the Regional/District Manager, DEC a responsible officer to direct and control the rehabilitation program.","Inactive","01/08/2006 00:00:00 onwards","Impose on M where State Forest & Timber Reserve in SW","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+.+[^A-Z0-9]+designating[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+DEC[^A-Z0-9]+a[^A-Z0-9]+responsible[^A-Z0-9]+officer[^A-Z0-9]+to[^A-Z0-9]+direct[^A-Z0-9]+and[^A-Z0-9]+control[^A-Z0-9]+the[^A-Z0-9]+rehabilitation[^A-Z0-9]+program[\s?.*-:]*$"
"179","6","Environmental","Schedule C State Forest & Timber Reserves (S.W.)","Condition","Exploration programs involving vegetation disturbance are subject to the approval of the Executive Director, Environment Division, DMP in consultation with the Regional/District Manager, DEC.","Inactive","09/11/2011 00:00:01 onwards","Impose on M where State Forest & Timber Reserve in SW","Jun-17","(?i)^[\s?.*-:]*Exploration[^A-Z0-9]+programs[^A-Z0-9]+involving[^A-Z0-9]+vegetation[^A-Z0-9]+disturbance[^A-Z0-9]+are[^A-Z0-9]+subject[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+approval[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Environment[^A-Z0-9]+Division[^A-Z0-9]+DMP[^A-Z0-9]+in[^A-Z0-9]+consultation[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+DEC[\s?.*-:]*$"
"180","2","Environmental","Schedule C State Forest & Timber Reserves (S.W.)","Condition","Where reasonable, the **LESSEE** permitting DEC to remove for DEC requirements, sand, rock, clay, gravel and soil subject to a working agreement.","Inactive","01/08/2006 00:00:00 onwards","Impose on M where State Forest & Timber Reserve in SW","Jun-17","(?i)^[\s?.*-:]*Where[^A-Z0-9]+reasonable[^A-Z0-9]+the[^A-Z0-9]+.+[^A-Z0-9]+permitting[^A-Z0-9]+DEC[^A-Z0-9]+to[^A-Z0-9]+remove[^A-Z0-9]+for[^A-Z0-9]+DEC[^A-Z0-9]+requirements[^A-Z0-9]+sand[^A-Z0-9]+rock[^A-Z0-9]+clay[^A-Z0-9]+gravel[^A-Z0-9]+and[^A-Z0-9]+soil[^A-Z0-9]+subject[^A-Z0-9]+to[^A-Z0-9]+a[^A-Z0-9]+working[^A-Z0-9]+agreement[\s?.*-:]*$"
"183","3","Environmental","Schedule D State Forest & Timber Reserves (Goldfields)","Endorsement","The licensee's attention is drawn to the provisions of: •the Conservation and Land Management Act 1984 and any Regulations thereunder; •the Bush Fires Act 1954 and any Regulations thereunder; and •the Wildlife Conservation Act 1950 and any Regulations thereunder.","Inactive","01/09/2004 00:00:00 onwards","Impose on P & E where State Forest & Timber Reserve in Goldfields","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+licensee[^A-Z0-9]+s[^A-Z0-9]+attention[^A-Z0-9]+is[^A-Z0-9]+drawn[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+provisions[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Conservation[^A-Z0-9]+and[^A-Z0-9]+Land[^A-Z0-9]+Management[^A-Z0-9]+Act[^A-Z0-9]+1984[^A-Z0-9]+and[^A-Z0-9]+any[^A-Z0-9]+Regulations[^A-Z0-9]+thereunder[^A-Z0-9]+the[^A-Z0-9]+Bush[^A-Z0-9]+Fires[^A-Z0-9]+Act[^A-Z0-9]+1954[^A-Z0-9]+and[^A-Z0-9]+any[^A-Z0-9]+Regulations[^A-Z0-9]+thereunder[^A-Z0-9]+and[^A-Z0-9]+the[^A-Z0-9]+Wildlife[^A-Z0-9]+Conservation[^A-Z0-9]+Act[^A-Z0-9]+1950[^A-Z0-9]+and[^A-Z0-9]+any[^A-Z0-9]+Regulations[^A-Z0-9]+thereunder[\s?.*-:]*$"
"184","6","Environmental","Schedule D State Forest & Timber Reserves (Goldfields)","Condition","Prior to any disturbance to vegetation the licensee preparing a detailed program for each phase of proposed exploration for written approval of the Executive Director, Environment Division, DMP in agreement with the Regional/District Manager, Department of Environment and Conservation (DEC). This program to include: •maps and/or aerial photographs showing the proposed locations of all ground activities and disturbances; •the purpose, specifications and extent of each activity and disturbance; •details on proposals which may disturb sensitive terrestrial habitats including any declared rare flora and fauna; and •techniques, prescriptions and timetable for the rehabilitation of all proposed disturbances and historic ground disturbances the licensee has agreed to rehabilitate.","Inactive","09/11/2011 00:00:01 onwards","Impose on P & E where State Forest & Timber Reserve in Goldfields","Jun-17","(?i)^[\s?.*-:]*Prior[^A-Z0-9]+to[^A-Z0-9]+any[^A-Z0-9]+disturbance[^A-Z0-9]+to[^A-Z0-9]+vegetation[^A-Z0-9]+the[^A-Z0-9]+licensee[^A-Z0-9]+preparing[^A-Z0-9]+a[^A-Z0-9]+detailed[^A-Z0-9]+program[^A-Z0-9]+for[^A-Z0-9]+each[^A-Z0-9]+phase[^A-Z0-9]+of[^A-Z0-9]+proposed[^A-Z0-9]+exploration[^A-Z0-9]+for[^A-Z0-9]+written[^A-Z0-9]+approval[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Environment[^A-Z0-9]+Division[^A-Z0-9]+DMP[^A-Z0-9]+in[^A-Z0-9]+agreement[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Environment[^A-Z0-9]+and[^A-Z0-9]+Conservation[^A-Z0-9]+DEC[^A-Z0-9]+This[^A-Z0-9]+program[^A-Z0-9]+to[^A-Z0-9]+include[^A-Z0-9]+maps[^A-Z0-9]+and[^A-Z0-9]+or[^A-Z0-9]+aerial[^A-Z0-9]+photographs[^A-Z0-9]+showing[^A-Z0-9]+the[^A-Z0-9]+proposed[^A-Z0-9]+locations[^A-Z0-9]+of[^A-Z0-9]+all[^A-Z0-9]+ground[^A-Z0-9]+activities[^A-Z0-9]+and[^A-Z0-9]+disturbances[^A-Z0-9]+the[^A-Z0-9]+purpose[^A-Z0-9]+specifications[^A-Z0-9]+and[^A-Z0-9]+extent[^A-Z0-9]+of[^A-Z0-9]+each[^A-Z0-9]+activity[^A-Z0-9]+and[^A-Z0-9]+disturbance[^A-Z0-9]+details[^A-Z0-9]+on[^A-Z0-9]+proposals[^A-Z0-9]+which[^A-Z0-9]+may[^A-Z0-9]+disturb[^A-Z0-9]+sensitive[^A-Z0-9]+terrestrial[^A-Z0-9]+habitats[^A-Z0-9]+including[^A-Z0-9]+any[^A-Z0-9]+declared[^A-Z0-9]+rare[^A-Z0-9]+flora[^A-Z0-9]+and[^A-Z0-9]+fauna[^A-Z0-9]+and[^A-Z0-9]+techniques[^A-Z0-9]+prescriptions[^A-Z0-9]+and[^A-Z0-9]+timetable[^A-Z0-9]+for[^A-Z0-9]+the[^A-Z0-9]+rehabilitation[^A-Z0-9]+of[^A-Z0-9]+all[^A-Z0-9]+proposed[^A-Z0-9]+disturbances[^A-Z0-9]+and[^A-Z0-9]+historic[^A-Z0-9]+ground[^A-Z0-9]+disturbances[^A-Z0-9]+the[^A-Z0-9]+licensee[^A-Z0-9]+has[^A-Z0-9]+agreed[^A-Z0-9]+to[^A-Z0-9]+rehabilitate[\s?.*-:]*$"
"184","6","Environmental","Schedule D State Forest & Timber Reserves (Goldfields)","Condition","Prior to any disturbance to vegetation the licensee preparing a detailed program for each phase of proposed exploration for written approval of the Executive Director, Environment Division, DMP in agreement with the Regional/District Manager, Department of Environment and Conservation (DEC). This program to include: rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programs for the next 12 months. Following receipt of the annual report a site inspection by the Regional Environmental Officer, Department of Mines and Petroleum and Regional/District Manager, DEC may be required.","Inactive","09/11/2011 00:00:01 onwards","Impose on P & E where State Forest & Timber Reserve in Goldfields","Mar-18","(?i)^[\s?.*-:]*Prior[^A-Z0-9]+to[^A-Z0-9]+any[^A-Z0-9]+disturbance[^A-Z0-9]+to[^A-Z0-9]+vegetation[^A-Z0-9]+the[^A-Z0-9]+licensee[^A-Z0-9]+preparing[^A-Z0-9]+a[^A-Z0-9]+detailed[^A-Z0-9]+program[^A-Z0-9]+for[^A-Z0-9]+each[^A-Z0-9]+phase[^A-Z0-9]+of[^A-Z0-9]+proposed[^A-Z0-9]+exploration[^A-Z0-9]+for[^A-Z0-9]+written[^A-Z0-9]+approval[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Environment[^A-Z0-9]+Division[^A-Z0-9]+DMP[^A-Z0-9]+in[^A-Z0-9]+agreement[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Environment[^A-Z0-9]+and[^A-Z0-9]+Conservation[^A-Z0-9]+DEC[^A-Z0-9]+This[^A-Z0-9]+program[^A-Z0-9]+to[^A-Z0-9]+include[^A-Z0-9]+rehabilitation[^A-Z0-9]+work[^A-Z0-9]+undertaken[^A-Z0-9]+in[^A-Z0-9]+the[^A-Z0-9]+previous[^A-Z0-9]+12[^A-Z0-9]+months[^A-Z0-9]+and[^A-Z0-9]+the[^A-Z0-9]+proposed[^A-Z0-9]+operations[^A-Z0-9]+environmental[^A-Z0-9]+management[^A-Z0-9]+plans[^A-Z0-9]+and[^A-Z0-9]+rehabilitation[^A-Z0-9]+programs[^A-Z0-9]+for[^A-Z0-9]+the[^A-Z0-9]+next[^A-Z0-9]+12[^A-Z0-9]+months[^A-Z0-9]+Following[^A-Z0-9]+receipt[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+annual[^A-Z0-9]+report[^A-Z0-9]+a[^A-Z0-9]+site[^A-Z0-9]+inspection[^A-Z0-9]+by[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Mines[^A-Z0-9]+and[^A-Z0-9]+Petroleum[^A-Z0-9]+and[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+DEC[^A-Z0-9]+may[^A-Z0-9]+be[^A-Z0-9]+required[\s?.*-:]*$"
"185","6","Environmental","Schedule D State Forest & Timber Reserves (Goldfields)","Condition","The licensee, at his/her expense, rehabilitating all areas cleared, explored or otherwise disturbed during the term of the licence to the satisfaction of the Executive Director, Environment Division, DMP in agreement with the Regional/ District Manager, DEC. Such rehabilitation as is appropriate and may include: •stockpiling and return of topsoil; •backfilling all holes, trenches and costeans; •ripping; •contouring to the original landform; •revegetation with seed and •capping and backfilling of all drill holes.","Inactive","09/11/2011 00:00:01 onwards","Impose on P & E where State Forest & Timber Reserve in Goldfields","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+licensee[^A-Z0-9]+at[^A-Z0-9]+his[^A-Z0-9]+her[^A-Z0-9]+expense[^A-Z0-9]+rehabilitating[^A-Z0-9]+all[^A-Z0-9]+areas[^A-Z0-9]+cleared[^A-Z0-9]+explored[^A-Z0-9]+or[^A-Z0-9]+otherwise[^A-Z0-9]+disturbed[^A-Z0-9]+during[^A-Z0-9]+the[^A-Z0-9]+term[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+licence[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+satisfaction[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Environment[^A-Z0-9]+Division[^A-Z0-9]+DMP[^A-Z0-9]+in[^A-Z0-9]+agreement[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+DEC[^A-Z0-9]+Such[^A-Z0-9]+rehabilitation[^A-Z0-9]+as[^A-Z0-9]+is[^A-Z0-9]+appropriate[^A-Z0-9]+and[^A-Z0-9]+may[^A-Z0-9]+include[^A-Z0-9]+stockpiling[^A-Z0-9]+and[^A-Z0-9]+return[^A-Z0-9]+of[^A-Z0-9]+topsoil[^A-Z0-9]+backfilling[^A-Z0-9]+all[^A-Z0-9]+holes[^A-Z0-9]+trenches[^A-Z0-9]+and[^A-Z0-9]+costeans[^A-Z0-9]+ripping[^A-Z0-9]+contouring[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+original[^A-Z0-9]+landform[^A-Z0-9]+revegetation[^A-Z0-9]+with[^A-Z0-9]+seed[^A-Z0-9]+and[^A-Z0-9]+capping[^A-Z0-9]+and[^A-Z0-9]+backfilling[^A-Z0-9]+of[^A-Z0-9]+all[^A-Z0-9]+drill[^A-Z0-9]+holes[\s?.*-:]*$"
"186","5","Environmental","Schedule D State Forest & Timber Reserves (Goldfields)","Condition","Prior to the cessation of exploration/prospecting activity the licensee notifying the Regional Environmental Officer, Department of Mines and Petroleum and Regional/District Manager, DEC and arranging an inspection as required.","Inactive","01/01/2009 00:00:00 onwards","Impose on P & E where State Forest & Timber Reserve in Goldfields","Jun-17","(?i)^[\s?.*-:]*Prior[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+cessation[^A-Z0-9]+of[^A-Z0-9]+exploration[^A-Z0-9]+prospecting[^A-Z0-9]+activity[^A-Z0-9]+the[^A-Z0-9]+licensee[^A-Z0-9]+notifying[^A-Z0-9]+the[^A-Z0-9]+Regional[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Mines[^A-Z0-9]+and[^A-Z0-9]+Petroleum[^A-Z0-9]+and[^A-Z0-9]+Regional[^A-Z0-9]+District[^A-Z0-9]+Manager[^A-Z0-9]+DEC[^A-Z0-9]+and[^A-Z0-9]+arranging[^A-Z0-9]+an[^A-Z0-9]+inspection[^A-Z0-9]+as[^A-Z0-9]+required[\s?.*-:]*$"
