Identifier,Version No,Category,Topics,Type,Text,Status,Version Date,Notation,Document Version
6,8,Standards for Tenement Types,Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"Unless the written approval of the Environmental Officer, DMP is first obtained, the use of drilling rigs, scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.",Active,01/01/2009 00:00:00 onwards,"Impose on all P, E, R and M",Jun-17
6,9,Standards for Tenement Types,Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"Unless the written approval of the Environmental Officer, DMIRS is first obtained, the use of drilling rigs, scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.",Active,01/07/2017 00:00:01 onwards,"Impose on all P, E, R and M",Mar-18
6,10,Standards for Tenement Types,Exploration Licence (Basic) General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"Unless the written approval of the Environmental Officer, Department of Mines, Industry Regulation and Safety is first obtained, the use of drilling rigs, scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.",Active,27/11/2018 00:00:02 onwards,"Impose on all P, E, R, M and G",Feb-20
7,2,Standards for Tenement Types,Exploration Licence (Basic) General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Miscellaneous Licence (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"The **LESSEE** notifying the holder of any underlying pastoral or grazing lease by telephone or in person, or by registered post if contact cannot be made, prior to undertaking airborne geophysical surveys or any ground disturbing activities utilising equipment such as scrapers, graders, bulldozers, backhoes, drilling rigs; water carting equipment or other mechanised equipment.",Active,16/05/2000 00:00:00 onwards,Impose on all tenements where there is an underlying Pastoral or Grazing Lease,Feb-20
8,3,Standards for Tenement Types,Exploration Licence (Basic) General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Miscellaneous Licence (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"The **LESSEE** or transferee, as the case may be, shall within thirty (30) days of receiving written notification of:- •the grant of the **LEASE**; or •registration of a transfer introducing a new **LESSEE**; advise, by registered post, the holder of any underlying pastoral or grazing lease details of the grant or transfer.",Active,22/08/2002 00:00:00 onwards,Impose on all tenements where there is an underlying Pastoral or Grazing Lease,Feb-20
9,5,Standards for Tenement Types,Mining Lease (Basic) Mining Lease for Gold (Basic),Condition,"The lessee submitting a plan of proposed operations and measures to safeguard the environment to the Executive Director, Environment Division, DMP for his assessment and written approval prior to commencing any developmental or productive mining or construction activity.",Inactive,09/11/2011 00:00:01 onwards,"On all ""M"" not where ongoing min ops or Sched C E F applied to whole lease",Jun-17
9,6,Standards for Tenement Types,Mining Lease (Basic) Mining Lease for Gold (Basic),Condition,"The lessee submitting a plan of proposed operations and measures to safeguard the environment to the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety for their assessment and written approval prior to commencing any developmental or productive mining or construction activity.",Active,27/11/2018 00:00:01 onwards,"On all ""M"" not where ongoing min ops or Sched C E F applied to whole lease",Feb-20
10,5,Standards for Tenement Types,Mining Lease (Ongoing mining operations) Retention Licence (Basic),Condition,"The lessee within three months of grant submitting a plan of the ongoing mining operations and measures to safeguard the environment to the Executive Director, Environment Division, DMP for his assessment and written approval.",Inactive,09/11/2011 00:00:01 onwards,"Impose only on ""M"" where lease is subject of ongoing mining operations",Mar-18
10,5,Standards for Tenement Types,Mining Lease (Ongoing mining operations),Condition,"The lessee within three months of grant submitting a plan of the ongoing mining operations and measures to safeguard the environment to the Executive Director, Environment Division, DMP for his assessment and written approval.",Inactive,09/11/2011 00:00:01 onwards,"Impose only on ""M"" where lease is subject of ongoing mining operations",Jun-17
11,6,General,Native Title Deed,Endorsement,"Persons claiming native title to the land the subject of this mining tenement entered into a deed under the Native Title Act 1993 with the State of Western Australia, the Minister responsible for the Mining Act 1978 and the tenement holder agreeing to the grant of the tenement.Copies of the deed were given to the National Native Title Tribunal pursuant to Section 34 of the Native Title Act and filed at the Department of Mines and Petroleum.",Active,01/01/2009 00:00:00 onwards,Impose on all ten's where deed under NatTitle Act has been registered with NNTT.,Jun-17
11,7,General,Native Title Deed,Endorsement,"Persons claiming native title to the land the subject of this mining tenement entered into a deed under the Native Title Act 1993 with the State of Western Australia, the Minister responsible for the Mining Act 1978 and the tenement holder agreeing to the grant of the tenement.Copies of the deed were given to the National Native Title Tribunal pursuant to Section 34 of the Native Title Act and filed at the Department of Mines, Industry Regulation and Safety (DMIRS).",Active,01/01/2009 00:00:01 onwards,Impose on all ten's where deed under NatTitle Act has been registered with NNTT.,Feb-20
12,1,General,Native Title Compensation,Condition,"The lessee is liable for the payment of any compensation under the Native Title Act 1993 payable to a native title holder as a result of the grant of the lease or any activities conducted by the lessee in connection with the lease. (The term ""native title holder"" has the same meaning as that term in the Native Title Act 1993).",Inactive,01/01/2000 00:00:00 - 30/03/2001 23:59:59,Impose on Mining and General Purpose Leases if processed under the NatTitle Act.,Jun-17
13,1,General,Excision,Endorsement,The grant of this **LEASE** does not include land the subject of **PROMPT** .,Active,01/01/2000 00:00:00 onwards,,Feb-20
14,1,General,Ingress-Egress (Miscellaneous Licence) Miscellaneous Licence (Protection),Condition,The rights of ingress to and egress from Miscellaneous Licence **PROMPT** being at all times preserved to the licensee and no interference with the purpose or installations connected to the licence.,Active,01/01/2000 00:00:00 onwards,Protection for Miscellaneous Licence,Feb-20
15,1,Standards for Tenement Types,General Purpose Lease (Basic),Endorsement,The grant of the lease being confined to the natural surface of the land and thereunder to a depth of 15 metres.,Active,01/01/2000 00:00:00 onwards,Impose on General Purpose Leases,Feb-20
16,5,Standards for Tenement Types,General Purpose Lease (Basic),Condition,"The lessee submitting a plan of proposed operations and measures to safeguard the environment to the Executive Director, Environment Division, DMP for assessment and written approval prior to commencing any development or construction.",Inactive,09/11/2011 00:00:01 onwards,Impose on General Purpose Leases,Jun-17
17,1,General,Road,Condition,"Mining on any road, road verge or road reserve being confined to below a depth of 15 metres from the natural surface.",Active,01/01/2000 00:00:00 onwards,Use on leases only (road),Feb-20
18,1,General,Highway- on its own,Condition,"No excavation, excepting shafts, approaching closer to the **PROMPT** Highway, Highway verge or the road reserve than a distance equal to twice the depth of the excavation and mining on the **PROMPT** Highway or Highway verge being confined to below a depth of 30 metres from the natural surface.",Active,01/01/2000 00:00:00 onwards,Use on leases and exploration licences (highway),Feb-20
19,1,General,Highway - with minor road,Condition,"No excavation, excepting shafts, approaching closer to the **PROMPT** Highway, Highway verge or the road reserve than a distance equal to twice the depth of the excavation and mining on the **PROMPT** Highway or Highway verge being confined to below a depth of 30 metres from the natural surface, and on any other road or road verge, to below a depth of 15 metres from the natural surface.",Active,01/01/2000 00:00:00 onwards,Use on leases and exploration licences (highway and minor road),Feb-20
19,1,General,Highway - with minor road,Condition,"No excavation, excepting shafts, approaching closer to the **PROMPT** Highway, Highway verge or the road reserve than a distance equal to twice the depth of the excavation and mining on the **PROMPT** Highway or Highway verge",Active,01/01/2000 00:00:00 onwards,Use on leases and exploration licences (highway and minor road),Mar-18
20,4,General,"Mining, No No Mining",Condition,The prior written consent of the Minister responsible for the Mining Act 1978 being obtained before commencing any **OPTION** on **PROMPT**.,Active,15/06/2007 00:00:00 onwards,If used on townsite also impose Endorsement 27,Feb-20
21,3,General,Cemetery Reserve,Condition,No **OPTION** on Cemetery Reserve **PROMPT** and such activities within a distance of 140 metres laterally from the Reserve being confined to below a depth of 50 metres from the lowest part of the surface of the land with rights of ingress to and egress from the said Reserve being at all times preserved to the public.,Active,18/06/2007 00:00:00 onwards,Cemetery Reserve,Feb-20
22,2,General,Stock Route Reserve,Condition,No **OPTION** being carried out on **PROMPT** Reserve **PROMPT** which restrict the use of the reserve.,Active,01/06/2007 00:00:00 onwards,Stock Route Reserve,Feb-20
23,3,General,Battery Reserve State Battery Reserve,Condition,The prior written consent of the Minister for responsible for the Mining Act 1978 being obtained before commencing mining on State Battery Reserve **PROMPT**.,Inactive,26/03/2001 00:00:01 onwards,Always use together State Battery Reserve,Jun-17
24,1,General,Battery Reserve State Battery Reserve,Condition,Subject to the rights of the vested authority of Reserve **PROMPT** and persons authorized by it to enter and remain on the reserve at all times and from time to time for any purpose connected therewith including the removal or treatment of tailings on the reserve and activities associated therewith.,Active,01/01/2000 00:00:00 onwards,Always use together State Battery Reserve,Feb-20
25,1,General,Geodetic Survey Station,Condition,No interference with Geodetic Survey Station **PROMPT** and mining within 15 metres thereof being confined to below a depth of 15 metres from the natural surface.,Active,01/01/2000 00:00:00 onwards,Geodetic Survey Station not protected by reserve,Feb-20
26,1,General,Landing Ground,Condition,No interference with the use of the Aerial Landing Ground and mining thereon being confined to below a depth of 15 metres from the natural surface.,Active,01/01/2000 00:00:00 onwards,Landing Ground,Feb-20
27,1,General,Private Land Endorsements,Endorsement,The grant of this **LEASE** does not include any private land referred to in Section 29(2) of the Mining Act 1978 except that below 30 metres from the natural surface of the land.,Active,01/01/2000 00:00:00 onwards,Impose if no private land consent filed.,Feb-20
28,1,General,Private Land Endorsements,Endorsement,The grant of this **LEASE** does not include any portion of **PROMPT** Location **PROMPT** which is referred to in Section 29(2) of the Mining Act 1978 except that below 30 metres from the natural surface of the land.,Active,01/01/2000 00:00:00 onwards,Exclusion of PP where no consent & only 1 Location affected,Feb-20
29,1,General,Private Land Endorsements,Endorsement,"The grant of this **LEASE** does not include any portion of **PROMPT** Locations **PROMPT** which are referred to being confined to below a depth of 30 metres from the natural surface, and on any other road or road verge, to below a depth of 15 metres from the natural surface.",Active,01/01/2000 00:00:00 onwards,Impose where applicant has the,Mar-18
29,1,General,Private Land Endorsements,Endorsement,The grant of this **LEASE** does not include any portion of **PROMPT** Locations **PROMPT** which are referred to in Section 29(2) of the Mining Act 1978 except that below 30 metres from the natural surface of the land.,Active,01/01/2000 00:00:00 onwards,Impose where applicant has the consent of a majority of the private land owners,Feb-20
30,1,General,Private Land Endorsements,Endorsement,Other than **PROMPT** Locations **PROMPT** the grant of this **LEASE** does not include any private land referred to in Section 29(2) of the Mining Act 1978 except that below 30 metres from the natural surface of the land.,Active,01/01/2000 00:00:00 onwards,Impose where the applicant has the consent of some of the private land owners,Feb-20
31,1,General,Hampton Location Australian National (Railway) Railway (Australian National),Endorsement,The grant of this **LEASE** does not include Hampton Location **PROMPT** Australian National (Railway).,Inactive,01/01/2000 00:00:00 - 09/04/2001 23:59:59,"Hampton Location, Commonwealth Railway",Jun-17
32,1,General,Hampton Location Australian National (Railway) Railway (Australian National),Condition,Mining below Hampton Location **PROMPT** (Australian National (Railway)) requiring the approval of the Executive Government of the Commonwealth.,Inactive,01/01/2000 00:00:00 - 09/04/2001 23:59:59,"Hampton Location, Commonwealth Railway",Jun-17
33,1,General,Railway (WAGR) (Indenture Filed),Condition,The terms and conditions expressed in a certain Indenture dated **PROMPT** between the applicant and the Western Australian Government Railways Commission.,Inactive,01/01/2000 00:00:00 onwards,Westrail Indenture,Jun-17
34,1,General,Railway (WAGR) (No Indenture),Condition,No mining on a strip of land 60 metres wide with the **PROMPT** Railway Line as the centreline and no materials being deposited or machinery or buildings being erected on such strip of land.,Active,01/01/2000 00:00:00 onwards,Always use together (no Indenture filed),Feb-20
35,1,General,Railway (WAGR) (No Indenture),Condition,"Blasting operations being controlled so that no damage or injury can be caused by fly rock, concussion, vibration or other means.",Active,01/01/2000 00:00:00 onwards,Always use together (no Indenture filed),Feb-20
36,1,General,Mullewa/Meekatharra Railway Line Railway (WAGR) (Mullewa- Meekatharra),Condition,Mining on a strip of land 30 metres wide with the Mullewa/ Meekatharra Railway Line as the centreline being confined to below a depth of 30 metres from the natural surface.,Active,01/01/2000 00:00:00 onwards,Mullewa / Meekatharra Railway,Feb-20
37,3,General,Section 57(4) Declaration,Endorsement,"The grant of this **LEASE** does not include land declared by the Minister on **PROMPT** as being not available for application as an exploration licence, and described in the notice appearing in the Government Gazette of Western Australia dated **PROMPT**.",Active,01/09/2004 00:00:00 onwards,Section 57(4) declaration,Feb-20
38,1,General,Protected Areas (AAPA),Endorsement,The grant of this **LEASE** does not include land declared a protected area under Section 19 of the Aboriginal Heritage Act 1972 and described in the notice appearing in the Government Gazette of Western Australia dated **PROMPT**,Active,01/01/2000 00:00:00 onwards,AAPA Protected Area,Feb-20
39,1,General,Alienated Land,Endorsement,"The grant of this **LEASE** is restricted to gold, silver and precious metals in respect to private land which was alienated from the Crown prior to 1 January 1899. in Section 29(2) of the Mining Act 1978 except that below 30 metres from the natural surface of the land.",Active,01/01/2000 00:00:00 onwards,PRE-1899 land (to be used in conjunction with consent of a majority of the private land owners,Mar-18
39,1,General,Alienated Land,Endorsement,"The grant of this **LEASE** is restricted to gold, silver and precious metals in respect to private land which was alienated from the Crown prior to 1 January 1899.",Active,01/01/2000 00:00:00 onwards,PRE-1899 land (to be used in conjunction with private land endorsements),Feb-20
40,1,General,Alienated Land,Endorsement,"The grant of this **LEASE** is restricted to gold, silver and precious metals in respect to portion of **PROMPT** being Lot **PROMPT** which was alienated from the Crown prior to 1 January 1899.",Active,01/01/2000 00:00:00 onwards,PRE-1899 land (to be used in conjunction with private land endorsements),Feb-20
41,1,General,Miscellaneous Licence (Depth),Endorsement,The grant of this licence is confined to the natural surface of the land only.,Active,01/01/2000 00:00:00 onwards,Miscellaneous Licence protection (optional),Feb-20
42,1,General,Miscellaneous Licence (Depth),Endorsement,The grant of the licence is confined to the natural surface of the land and thereunder to a depth of **PROMPT** metres.,Active,01/01/2000 00:00:00 onwards,Miscellaneous Licence protection (optional),Feb-20
43,1,Standards for Tenement Types,Prospecting Licence for Gold (Basic),Endorsement,The grant of this licence does not authorise mining to be carried out on any portion of the land below 50 metres from the surface and the licensee is only authorised to prospect for gold.,Active,01/01/2000 00:00:00 onwards,Special P for gold,Feb-20
44,1,Standards for Tenement Types,Mining Lease for Gold (Basic),Endorsement,The grant of this lease being confined to a depth of 50 metres from the surface and the lessee is only authorised to mine for gold.,Active,01/01/2000 00:00:00 onwards,Special M for gold,Feb-20
45,6,General,Iron (Inclusion),Endorsement,The **LESSEE** pursuant to the approval of the Minister responsible for the Mining Act 1978 under Section 111 of the Mining Act 1978 is authorised to **OPTION** for iron.,Active,16/02/2006 00:00:01 onwards,Inclusion of Iron,Feb-20
46,3,General,Additional Tonnage,Endorsement,"The licensee pursuant to the approval of the Minister responsible for the Mining Act 1978 dated **PROMPT** under Section **OPTION** of the Mining Act 1978 is authorised to excavate, extract or remove an additional **PROMPT** tonnes of earth, soil, rock, stone, fluid or mineral bearing substance from the licence.",Active,15/02/2006 00:00:00 onwards,Additional tonnage,Feb-20
47,6,General,Townsite,Condition,"Access to the surface of land within **PROMPT** Townsite for mining purposes being subject to the approval of the local Authority or relevant reserve vestees, and mining activities within the first 100 metres below the surface of the land being limited to such **OPTION** activities as may be approved by the Executive Director, Environment Division, DMP.",Active,09/11/2011 00:00:02 onwards,UTILISE ONLY IF CONSENT TO MINE HAS BEEN GIVEN. Insert option (mining) where tenement is a L,Jun-17
47,8,General,Townsite,Condition,"Access to the surface of land within **PROMPT** Townsite for mining purposes being subject to the approval of the local Authority or relevant reserve vestees, and mining activities within the first 100 metres below the surface of the land being limited to such **OPTION** activities as may be approved by the Executive Director, Resource and Environmental Compliance, DMIRS.",Active,01/02/2018 00:00:02 onwards,UTILISE ONLY IF CONSENT TO MINE HAS BEEN GIVEN. Insert option (mining) where tenement is a L,Feb-20
48,3,General,Coaxial Cable Optic Fibre Cable Power Line Transmission Line,Condition,"No interference with the **OPTION** or the installations in connection therewith, and the rights of ingress to and egress from the facility being at all times preserved to the owners thereof.",Active,18/10/2002 00:00:00 onwards,Power Line / Transmission Line / Coaxial Cable / Optic Fibre Cable,Feb-20
48,3,General,Coaxial Cable Optic Fibre Cable Power Line,Condition,"No interference with the **OPTION** or the installations in connection therewith, and the rights of ingress to and egress",Active,18/10/2002 00:00:00 onwards,Power Line / Transmission Line / private land endorsements),Mar-18
49,1,General,Pipeline (Water),Condition,Mining on a strip of land 20 metres wide with any **OPTION** as the centreline being confined to below a depth of 31 metres from the natural surface and no mining material being deposited upon such strip and the rights of ingress to and egress from the facility being at all times preserved to the owners thereof.,Active,01/01/2000 00:00:00 onwards,Pipeline (water),Feb-20
50,1,General,Microwave (Telecom),Condition,Mining within a radius of 150 metres of any Australian Telecommunications Commission microwave repeater station being confined to below a depth of 60 metres from the natural surface.,Active,01/01/2000 00:00:00 onwards,Microwave Always use together,Feb-20
51,1,General,Microwave (Telecom),Condition,No interference with the Australian Telecommunications Commission microwave repeater station ray-line.,Active,01/01/2000 00:00:00 onwards,Microwave Always use together,Feb-20
52,1,General,Rifle Range,Condition,Mining operations being carried out at such times and in such a manner as not to interfere with the full use of Rifle Range Reserve **PROMPT** for rifle practice and no person being domiciled on the Rifle Range.,Active,01/01/2000 00:00:00 onwards,Rifle Range Reserve - Always use together,Feb-20
53,1,General,Rifle Range,Condition,"The Commonwealth of Australia and the **PROMPT** Rifle Club being completely absolved from liability for any accident which may occur within the boundaries for the Rifle Range Reserve as the result of the granting of the **LEASE**, and the **LESSEE** observing all necessary safety precautions to ensure freedom from accident arising from the use of the Rifle Range.",Inactive,01/01/2000 00:00:00 onwards,Rifle Range Reserve - Always use together,Jun-17
54,1,General,Rifle Range,Condition,"In the event of large scale mining operations proving justified, the **LESSEE** to bear the cost of rebuilding the Rifle Range on another approved reserve.",Inactive,01/01/2000 00:00:00 onwards,Rifle Range Reserve - Always use together,Jun-17
55,3,General,Rabbit Proof Fence,Condition,Mining on a strip of land 30 metres wide with the Rabbit Proof Fence as the centre-line being restricted to below a depth of 15 metres from the natural surface.,Active,03/04/2007 00:00:00 onwards,Rabbit Proof Fence (where reserve exists also impose condition 531),Mar-16
55,6,General,Rabbit Proof Fence,Condition,Mining on a strip of land 30 metres wide with the **PROMPT**  as the centre-line being restricted to below a depth of 15 metres from the natural surface.,Active,22/04/2016 00:00:04 onwards,Rabbit Proof Fence also includes other types of vermin,Feb-20
56,2,General,Ord River Irrigation District A Ord River Irrigation District B Ord River Irrigation District C,Endorsement,The **LESSEE**'s attention is drawn to the provisions of the Rights in Water and Irrigation Act 1914 and any Regulations thereunder.,Inactive,31/08/2004 00:00:00 - 28/07/2005 23:59:59,Ord River Area C,Jun-17
57,1,General,Ord River Irrigation District A Ord River Irrigation District B Ord River Irrigation District C,Condition,No mining being carried out that will pollute or unduly interfere with the natural water courses.,Inactive,01/01/2000 00:00:00 - 28/07/2005 23:59:59,Ord River Area C,Jun-17
58,1,General,Ord River Irrigation District A Ord River Irrigation District B Ord River Irrigation District C,Condition,"The rights of ingress to and egress from any mining operation being at all reasonable times preserved to the authorised officers of the Water and Rivers Commission (WRC), for inspection purposes.",Inactive,01/01/2000 00:00:00 - 28/07/2005 23:59:59,Ord River Area C,Jun-17
58,1,General,Ord River Irrigation District A Ord River Irrigation District B Transmission Line,Condition,The rights of ingress to and egress from any mining operation being at all reasonable times preserved to the authorised from the facility being at all times preserved to the owners thereof.,Inactive,01/01/2000 00:00:00 - 28/07/2005 23:59:59,Ord River Area C Coaxial Cable / Optic Fibre Cable,Mar-18
59,2,General,Ord River Irrigation District A Ord River Irrigation District B Ord River Irrigation District C,Condition,Such further conditions concerning the pollution of or interference with the natural water courses as the Minister for State Development may from time to time determine.,Inactive,26/03/2001 00:00:00 - 28/07/2005 23:59:59,Ord River Area C,Jun-17
60,2,General,Ord River Irrigation District B,Condition,"The **LESSEE** not commencing any mining, other than exploration on any existing or planned irrigation area or on any strip of land within 50 metres of the banks of a WRC irrigation channel, drain or maintained water course without first supplying details of, and receiving the written approval thereto of the Director, Environment, DoIR and the Director of Engineering WRC of the proposed layout of the mine plant, building and facilities and access routes, together with plans for the disposal of liquid and solid waste, and details of requirements as to water and other public utility services.",Inactive,16/02/2005 00:00:00 - 28/07/2005 23:59:59,Ord River Area B,Jun-17
61,2,General,Ord River Irrigation District B,Condition,"No extension of previously approved surface mining operations, other than exploration, being commenced on any existing or planned irrigation area or on any strip of land within 50 metres of the banks of a WRC irrigation channel, drain or maintained water course without the **LESSEE** first supplying details as required by Condition **PROMPT** above and receiving the written approval thereto of the Director, Environment, DoIR and Director of Engineering.",Inactive,16/02/2005 00:00:00 - 28/07/2005 23:59:59,Ord River Area B,Jun-17
62,1,General,Ord River Irrigation District B,Condition,"Exploration on any existing or planned irrigation area or on any strip of land within 50 metres of the banks of a WRC irrigation channel, drain or maintained water course being confined to surface geological, geophysical and/or geochemical surveys, and drilling, unless the written consent of the District Engineer, WRC, Kununurra, is first obtained.",Inactive,01/01/2000 00:00:00 - 28/07/2005 23:59:59,Ord River Area B,Jun-17
63,2,General,Ord River Irrigation District A,Condition,"No mining, other than exploration, on the bed of the **OPTION** , or within 100 metres of the banks of the river, without the **LESSEE** first supplying details of and receiving the written approval thereto of the Director, Environment, DoIR and the Director of Engineering, WRC,of the proposed layout of the mine plant, buildings and facilities, and access routes, together with plans for the disposal of liquid and solid waste and details of requirements as to water and other public utility services.",Inactive,16/02/2005 00:00:00 - 28/07/2005 23:59:59,Ord River Area A,Jun-17
64,2,General,Ord River Irrigation District A Ord River Irrigation District C,Condition,"No extension of previously approved mining operations, other than exploration, being commenced on the bed of the officers of the Water and Rivers Commission (WRC), for inspection purposes.",Inactive,16/02/2005 00:00:00 - 28/07/2005 23:59:59,Ord River Area A,Mar-18
64,2,General,Ord River Irrigation District A,Condition,"No extension of previously approved mining operations, other than exploration, being commenced on the bed of the **OPTION**, or within 100 metres of the banks of the river, without the **LESSEE** first supplying details as required by Condition **PROMPT** above and receiving the written approval thereto of the Director, Environment, DoIR and the Director of Engineering, WRC.",Inactive,16/02/2005 00:00:00 - 28/07/2005 23:59:59,Ord River Area A,Jun-17
65,1,General,Ord River Irrigation District A,Condition,"Exploration on the bed of the **OPTION**, or on land within 100 metres of the banks of the river, being confined to surface geological, geophysical and/or geochemical surveys, and drilling, unless the written consent of the District Engineer, WRC, Kununurra, is first obtained.",Inactive,01/01/2000 00:00:00 - 28/07/2005 23:59:59,Ord River Area A,Jun-17
